"","PC1","PC2","PC3","PC4","PC5"
"Fn3k",-0.0122691172067625,-0.00603588444221536,0.00740274090813538,-0.00558940949200018,-0.00196210361802642
"Stradb",-0.0137402156808888,0.00526109183782672,0.00529239590590162,-0.000333759473860682,-0.000799568045900253
"Copz1",0.00373819356738953,0.00502815057033526,0.0175788380630873,-0.00320728384683666,0.00590479593059793
"Gm13251",0.00415331891176532,0.00509540031315858,0.00625255200775525,0.00418603369247402,0.00131714313479575
"Olfr957",-1.70138782241283e-16,3.06067726483526e-17,1.22797638670006e-16,-3.26941001723762e-16,-2.89248899744253e-16
"Herc2",-0.00790697038785797,0.0140665208623084,-0.00803346605229523,-0.00170277486867349,-0.00316082339652372
"Olfr143",-1.5519645968579e-16,-1.25983877226867e-17,-1.19692486528391e-16,-1.73622745859945e-16,-1.4333574095479e-16
"Unc5b",0.0110186190148923,0.00167780964548059,-0.00888761430408735,-0.0181386522136897,-0.00185226099156147
"Olfr1294",-1.66262377072023e-16,-8.67459269903952e-17,-4.5014207046847e-16,7.01323111264078e-17,-8.60108122550147e-17
"Defb29",6.33695286199163e-17,1.46622904028691e-17,5.19555304414619e-17,4.12734834261224e-17,1.49541133709209e-17
"Serhl",0.0100485304325341,0.000761468143095246,0.0106251182315843,0.0102372200487142,0.0113863100586961
"Lilra6",-0.00670430911928995,-0.0119397488280531,0.0015786745635487,-0.0177324218212951,-0.00953709449905936
"Unc5a",-0.0127502850115605,-0.00204378300759271,0.0030207070569579,-0.00174563441005762,0.000609493287972056
"Olfr971",0,0,0,0,0
"Strn3",-0.0120406511011893,0.0138947716651174,-0.000536814444156401,0.00338275340310969,-0.0014111594556702
"Ltbr",-0.00806609898647245,0.00444844691004005,-0.011437460118964,-0.0180453248493341,0.00538097705332302
"Apex1",0.00887037621058656,0.0045037509937673,-0.00110657638877877,-0.00638570203388247,-2.16538321292582e-05
"Olfr818",0,0,0,0,0
"Snd1",-0.00241401060552291,-0.0107319960489708,0.00934384541289153,-0.0181474797866757,0.00710818126620004
"Kcns2",-0.00469442474423519,-0.00938585857488014,0.0062496902116081,-0.00350967164713821,0.0004752529335462
"Psmc3",-0.0118248953788669,0.00598681159197481,0.000539272494116804,-0.00594928062963118,0.00969348919843169
"Tex33",0,0,0,0,0
"Olfr768",0,0,0,0,0
"Lce1m",-0.0100730050347477,0.00153027950876324,0.00550216785730744,0.00172808034739822,-0.00262523353445129
"Scg5",0.00353561054320437,0.00125643723179456,-0.00294997610214943,0.00417581833803909,0.0046629368766689
"Nmi",-0.00863976785253974,-0.00696765002626305,0.0027257297014026,-0.00805250514235473,0.00370959209566438
"Adam34",0,0,0,0,0
"Olfr643",0,0,0,0,0
"Nlrp12",-0.00343193834713836,-0.00721887783823409,-0.00246130244018991,0.00326224232816419,-0.0193597520998422
"Dio2",0.00336836204162273,-0.00820874105013463,-0.00470422331631368,0.000586910302819495,0.0091877704478272
"Cldn16",0,0,0,0,0
"Maml3",0.0112989552296569,0.00252107114989167,-0.00868839676937946,-0.00877013840691416,0.00507334194808377
"Vstm4",-0.00353823589461662,0.00939695258105301,-0.0109612878402639,-0.00193797100586033,0.00402548200333815
"Srp19",-0.00461838394338948,0.0116030453763927,-0.00356007282147683,-0.014220137963455,0.0175654693440643
"Dhrs7",0.000134393460719605,0.00247805770361878,-0.00877392325831013,0.0104531736025219,0.00159762946536102
