"","PC1","PC2","PC3","PC4","PC5"
"128","Itm2a","Gm590","Pkd2","Qrich1","Cntnap5a"
"129","Lpl","Ace","Glis2","Nkapl","Cts8"
"130","Creld1","Dennd4a","Fbxl7","Cflar","Plat"
"131","Mylk2","Man1a","Sh3pxd2a","Hnrnpa2b1","Gad2"
"132","Stradb","Carhsp1","Arid5b","Sf3b2","Fam107b"
"133","Scn4a","Clcn4-2","Cd200","Fam211b","Cited2"
"134","Prkaca","Gm608","Sfrs18","Gm973","Tbck"
"135","Gnpat","Clca3","Tmem119","Tgfbr3","Capn2"
"136","Ndufa10","Islr","Soat1","Vhl","Gtf3c6"
"137","Pdha1","Clip1","Cited4","Cst3","Ppp1r18"
"138","Optn","Sfxn1","2310014L17Rik","Ttf1","Cngb3"
"139","Prdx3","Flna","Cyb5r4","Dnah10","Casp2"
"140","Dysf","Naa50","Arsk","Ccdc84","Ppil6"
"141","Ppm1l","Gpx1","Snrnp25","Ccr6","Usp51"
"142","Anxa2","Msl1","Casc4","Hps6","Fbxw17"
"143","Iqgap1","Tsn","Ube4b","Jun","Trim30b"
"144","Prkci","Sh2b3","Dkkl1","Sart1","Pls1"
"145","Six1","Pold1","Zfp157","Scube3","Fuca1"
"146","Rps4x","Lyz2","1810011O10Rik","Zfp513","Tcstv1"
"147","Mpc1","Tkt","Arntl2","Rad1","Plac9b"
"148","Rps16","Ncor1","Abhd5","Dio3","Dcn"
"149","Asph","Arfgef1","Cdh19","Hexim1","Mc2r"
"150","Myof","Glo1","Rps2","Srms","Gm4981"
"151","Sdc1","Map2k7","Tpsb2","Aamp","Cyp2g1"
"152","Pde4a","Birc2","Crlf3","Tuba1a","Cxcl10"
"153","Aldh1a1","Ssc5d","Kdelr3","Crtac1","Nudc"
"154","Cd9","Dnajc2","Ccdc71l","Zfp759","Ttc38"
"155","Man2a2","Vapa","Zfp709","Pax3","Fst"
"156","Fam83h","Ufsp2","Zfp395","Msh2","Ccdc90b"
"157","Ptpn13","Sesn1","Fam210b","Nts","ATF7"
"158","Ezr","Plk1","Fam180a","Dclk3","Zfp704"
"159","Tmem38a","Arsb","Cdhr3","Eif3a","Plcxd2"
"160","Psat1","Cox7a2l","Snf8","Zbtb42","Pdgfrb"
"161","Pdhx","C3","Pdzk1ip1","Ptprg","Tenc1"
"162","Hnrnpk","P2rx4","Il6st","Smarca4","Ano7"
"163","Tgfb3","Rassf3","Fmod","Pdxp","Scnn1g"
"164","Tmem43","Psph","Lgalsl","Cct7","Aamp"
"165","Fam210a","AI314180","Slc22a23","Cct5","Zc3h6"
"166","Ivd","Zc2hc1a","Bnc2","Cope","Nsmf"
"167","Ppia","Blm","Hnrnph1","Zfp961","Isg15"
"168","Asb12","Cwf19l2","Calu","Kng2","Bub1"
"169","Fabp3","Wsb2","Prr13","Prpf6","P4ha2"
"170","Calm3","Ifnar2","Cdh11","2610028H24Rik","Pcsk5"
"171","Esrp1","Pnp","Tmem229a","Ddx54","Tecta"
"172","Asrgl1","Psmb4","Il11ra1","Ubox5","Tll1"
"173","Pdk2","Oaz2","Slurp1","Tgfbr2","Pdzd2"
"174","Uqcrc2","Prpf18","Prkaa1","Med18","Ear10"
"175","Trim35","Crim1","Fbxo45","Ndfip1","Mettl17"
"176","Cycs","Ccser2","Myo1b","Ctsf","Scn8a"
"177","Dennd4b","Ptprj","Matr3","Zfp622","Arhgap39"
"178","Atp1a2","Cbfb","Lrrn2","Nup155","Gpr18"
"179","Emp1","Nup153","Aldh1a2","Isyna1","Vmn2r4"
"180","Actn4","Kmt2d","Fcho1","Otud4","Ttc30b"
"181","Vegfa","Vps37c","Gm973","Fkbp2","Taok2"
"182","Slc6a6","Gm2a","Fam134c","Nudt1","Pitpna"
"183","Mdh2","Ncapd2","Kif5a","Wdr82","Gbp2b"
