"","PC1","PC2","PC3","PC4","PC5"
"8471","AI413582","Clec10a","Ndufb4","Fam26d","Kank4"
"8472","Zkscan6","Mks1","Bcl2l11","Itk","Mrps30"
"8473","Naa16","Tex26","Klhl6","Rtkn2","Usf2"
"8474","Angptl1","Hamp2","Entpd2","Rbm12","Mafa"
"8475","Sema3a","Pvrl1","Mgat4a","Kctd15","Crispld1"
"8476","Cfb","Prkcz","Antxr2","Zfp677","Prkacb"
"8477","Ddhd2","Hoxa2","Aim1l","Slc47a2","Adam1a"
"8478","Hoxc4","Arl2","Calb1","Chd2","Tjp2"
"8479","H1fx","Rae1","Cbll1","Col5a2","AK010878"
"8480","Nefm","Glp2r","Flna","Micu1","Id3"
"8481","Slc25a28","Foxc1","Hist1h2ah","Irf5","Spin2c"
"8482","Col4a3bp","Phyh","Ammecr1l","Lactb2","Tsc22d4"
"8483","Cbwd1","Tpm1","Stfa1","Noxo1","Hnrnpl"
"8484","Adm","Dusp9","Cst3","Hist1h4n","D430042O09Rik"
"8485","Tbx21","Cc2d1b","Ncapd2","9030612E09Rik","4933426M11Rik"
"8486","Agt","Ssna1","Slc30a7","Muc6","Slc10a3"
"8487","Wdr34","Gpr176","Hoxc11","Polr2a","Arrb1"
"8488","Chrna3","Fgf6","Scrn3","Nrg1","Aadacl2"
"8489","Hhipl1","Smurf2","Ngp","Tnfrsf26","Hook3"
"8490","Mrc1","BC094916","Trpv5","Alox15","Creb3l2"
"8491","Gabbr1","Cdyl","Fgd3","Btbd7","Smoc2"
"8492","Vmn2r26","Herpud1","Ankdd1b","Psma1","Bend5"
"8493","Zfp943","Cdk18","Dusp12","11-Sep","Zfp369"
"8494","Ccdc150","Tcof1","Ak4","Ddx18","Ppwd1"
"8495","Ppp2cb","2-Sep","Slc1a3","Cd101","Scaf11"
"8496","Gp1bb","Insc","Il27","Lmnb2","Cdh24"
"8497","Eif2ak3","Gcdh","Dhx40","Tbc1d22a","Jun"
"8498","Steap1","Tsg101","Prox1","Hint3","Stoml3"
"8499","Mrgpra2b","Upb1","Lcn2","Abat","Xkrx"
"8500","Htr1b","Zfp276","Ap5m1","Lce1e","Tm9sf3"
"8501","Aff3","Rpap1","Ttll2","Acvr1b","Sord"
"8502","Erich1","Alg1","Gipc1","Slc9a4","Gal"
"8503","Npbwr1","Vwa5a","Wnt2","Rbfox3","Arg1"
"8504","Coasy","Yif1b","Stradb","Plek2","Rasgrp2"
"8505","Ly6c1","Ppp2r1b","Gsdmc3","BC056474","Nkain4"
"8506","Ambra1","Fan1","Ank2","Exosc7","Gm1045"
"8507","Phf1","Bbs2","Bin2","Nr2f2","Acads"
"8508","Osbpl9","Zfhx2","Mrpl50","Mrps11","Tjap1"
"8509","Zfp346","Cib3","Tab3","Lonrf1","Gltp"
"8510","Htr1d","Zfx","Dpyd","Wars2","Tas2r137"
"8511","Zfp933","Usp36","Prdx3","Rspo1","Neurl1b"
"8512","Tbc1d25","Pitpnm2","Mrgprb2","Tll2","Fance"
"8513","Acd","Asna1","Scn8a","Chi3l3","Pdxp"
"8514","Rabepk","Tulp1","Rqcd1","Scml4","Mapre3"
"8515","Sv2b","Syf2","Tle1","Bfsp2","Kpnb1"
"8516","Mup20","Hdac3","Ndufa7","Ephx4","Gm21541"
"8517","Gm5148","Thap4","Furin","Gtf2b","Macrod2"
"8518","Ltk","Gabrb1","Cenpf","Kcne3","Exd1"
"8519","Gpx8","Nwd1","Decr1","Alox12e","Lipi"
"8520","Zkscan5","Tbca","Emx2","Gm14288","Efcab2"
"8521","Gle1","Ndufv1","Capza2","Gas2l1","Mical2"
"8522","Ikbkg","Hexdc","Mak","Lims2","Tekt5"
"8523","Krt28","2010001E11Rik","Hba-x","Rgsl1","Zdhhc24"
"8524","Cab39l","Hat1","Siah3","Wars","Ttc30a2"
"8525","Chac2","Ntng2","Dchs1","Gapvd1","Krtap24-1"
"8526","Wibg","Tdrkh","Gjb1","Arhgef10l","Prex2"
"8527","Mup3","Zfp445","Inpp4b","Lrrc4b","Zfp160"
"8528","Gm5134","Cdh18","Smim22","Gm11937","Zfp558"
"8529","Gpat2","Ripk4","Fbp1","Tmem47","Ptgs1"
"8530","Bcl2","Pprc1","Dlg3","Slc14a1","Myo3b"
"8531","Ece2","Ccl21a","Abcg2","Xpot","Rad51"
"8532","4930451C15Rik","Zfp800","Tbk1","Plk1","Kctd5"
"8533","Sh3rf3","Rps25","Nmral1","Acp2","Smu1"
"8534","Evc","Hps1","Runx1t1","Bax","Stra8"
"8535","Suv39h2","Fam64a","Syt6","Snrpe","Klhdc10"
"8536","Hnrnph1","Gid8","Gstm3","Jrk","Tmem2"
"8537","Uckl1","3110001I22Rik","Zfp799","Adck5","Otoa"
"8538","Grm6","Ermard","Gtdc1","Pgrmc2","Plk4"
"8539","Ncapg2","Ift52","Pigz","Pcdhb20","Barx1"
"8540","Ptar1","Nedd1","Park7","Kndc1","Ikbkg"
"8541","Mpv17","Angptl2","Wsb2","Bmp2","1700093K21Rik"
"8542","Morc4","Gpr88","Adamts13","Purg","Adcy8"
"8543","Fbxl22","Flnb","Maob","Kbtbd2","Sde2"
"8544","Trim26","Gng7","Lipn","Scfd1","Ndufs5"
"8545","Nfe2l2","Mga","Slc4a8","Gbp6","Minos1"
"8546","Snx32","Zfp423","Rab9b","Usp48","Hmgb3"
"8547","Acbd5","Ncbp2","Mmgt2","Shroom4","Itgb1bp1"
"8548","Afp","Uck2","Carf","Grm6","Lsmem1"
"8549","Ctsl","Xpnpep2","Pigb","Vmn1r90","Mre11a"
"8550","Ptgs2","Mup10","Cubn","Shfm1","Hddc3"
"8551","Cdr2","Osgepl1","P2rx5","Rcan2","Narg2"
"8552","Sumf2","Xlr4a","Cxcl1","Pdp1","Cldn15"
"8553","Plk2","Limk2","Ppp1r18","Vapa","Tmem8"
"8554","Prr5l","Bok","Fbxw11","Degs2","Atp6v1e1"
"8555","Pltp","Cenpl","Treml1","Ppp1r16b","Ube2e2"
"8556","Galnt9","Tnfrsf8","Mtmr9","Rela","Atg4a"
"8557","Serpinb6c","Topors","Ltk","Nostrin","Ubp1"
"8558","Pitpna","Cbx5","Idh3a","Ube2o","Cct3"
"8559","Fap","Nalcn","Gstt1","Snx15","Hoxc11"
"8560","Lrrc34","Dnajc10","Sgpp2","Dnah7b","Ntng1"
"8561","Ackr2","Hist1h1e","Sp100","Trap1","Lrrtm3"
"8562","Txndc5","Tmco1","Tspan12","Acsbg1","Ccna1"
"8563","Dcp1b","Lamb3","Slc6a9","Atrip","Lhpp"
"8564","Usp12","Ushbp1","Rabgap1l","Rps25","Stac2"
"8565","Galnt15","Bcr","1700023E05Rik","Dpm2","Nckap1l"
"8566","Foxo6","Il20rb","Krtap12-1","Cd300lf","Khdrbs3"
"8567","Aldh1l2","9030619P08Rik","Actn3","Adrm1","Zfp229"
"8568","Cnot4","Rps15a","Gm11568","Anapc11","Prpf4"
"8569","Rufy1","Klhdc2","Fbf1","Otop1","Fbn2"
"8570","Cnot3","Ddx6","Alpk1","Cd302","Mvb12b"
"8571","Gm21541","Akr7a5","Atp8a2","Emid1","Efcab12"
"8572","Dbil5","Rufy2","Srebf1","Myeov2","Filip1"
"8573","Zfand6","C1galt1c1","Irx5","Akr1b7","Anxa2"
"8574","Sparcl1","Oca2","3110043O21Rik","Dpm1","Kif14"
"8575","Dph2","Cln6","Panx2","Spag5","Tatdn1"
"8576","Hrct1","A630023A22Rik","Eefsec","Mras","Myl10"
"8577","Smurf2","B4galnt1","Smpx","Neto2","Spn"
"8578","Ctsa","Odf2","Slc35a5","Lrrc59","Tmem52"
"8579","Gbx2","Ncl","Zfp518a","Chd7","Galm"
"8580","Leng1","Cd40","Mmel1","Lcn2","Alg10b"
"8581","Zic2","Haus1","Zfp446","Zscan25","Tgtp1"
"8582","Slc5a5","Gdpgp1","Mrpl19","Stmn4","Gfod2"
"8583","Klf11","Fat2","Ppl","Yif1b","Kcnj3"
"8584","Ric8","Napa","Numb","Isoc2a","Tmco1"
"8585","Ifi27","Pafah1b3","Ebag9","Spink13","Hibadh"
"8586","Ptpn3","Akr1b8","Rad51ap2","Gpx8","Azi2"
"8587","Acvr1","Cdh12","A330021E22Rik","Gm4559","Wsb1"
"8588","Srms","Slc35b1","Timm44","BC049352","Vprbp"
"8589","Tex261","Syn2","Deb1","E2f4","Smg9"
"8590","Mier1","Tigit","1700003E16Rik","Fbxl19","Tcte1"
"8591","Hist1h2ap","Sec14l5","Slc37a4","Stx2","Ubr1"
"8592","Spock1","Snf8","Nova1","Ces1g","Mbd5"
"8593","Fra10ac1","Snx1","Wdr1","Cpa4","Uba7"
"8594","Rnf103","Plekha3","Gdf6","Fam19a2","Csnk1e"
"8595","Tpp2","Ccdc64","Psmb7","Pqbp1","Tfcp2l1"
"8596","Mrpl39","Fgf4","Plxdc2","Fam49b","Slc39a9"
"8597","Tmem86a","Mrgprb3","Rin1","Arap2","Zfp61"
"8598","Memo1","Tcf19","Kcnh8","Ppp2r3a","Dctpp1"
"8599","Hcfc1","Procr","Siglecg","Dok3","Wdr70"
"8600","Utp11l","Rsg1","Arntl","Ttc17","Galk1"
"8601","Ipo4","9030617O03Rik","Lgmn","Hpn","Sh2d3c"
"8602","Prdm1","Gm7694","Lrrc8c","Gm8765","Slc12a5"
"8603","Slc18a1","Inpp4b","Rmdn1","Rps16","Krtap19-5"
"8604","Iqgap2","Smc5","Ankrd23","Hus1b","Rpl30"
"8605","Polr1e","Spdl1","Shkbp1","Coro1c","Gjb3"
"8606","Mss51","Cul2","Fasl","Oprk1","Gm5941"
"8607","Prkag1","Ppl","Ndufa4","Abcc10","Cerkl"
"8608","Gpkow","Traf6","Pkdcc","Utp6","0610011F06Rik"
"8609","Ano10","Gcgr","Ltf","Txnl1","Aldh1a7"
"8610","Prdm5","D3Bwg0562e","Banp","Prkra","Fam57a"
"8611","Il17rb","Spcs1","Cyp39a1","Polr1b","Acad12"
"8612","BC029214","Epc2","Nnat","Tpmt","Tm6sf2"
"8613","Mrpl52","Tmem44","Gfi1b","Rrp9","Ankrd6"
"8614","Car5b","Gm13083","Psma2","Eya4","Pin1"
"8615","Cyp2d22","Efemp1","Per3","Fam229b","Taok3"
"8616","Pcdh20","Tmem167","Usp49","Krt4","Ppil1"
"8617","Tmem252","Pla2g4a","Mrs2","Krtap4-16","Irx6"
"8618","Rfc1","Necab1","Prps1","Dtymk","Fam211b"
"8619","Mup2","Gpr84","Ghitm","Lyg2","Spata22"
"8620","Marc1_x","Grb10","Gm11127","Slc35a1","Ccsap"
"8621","Psmc1","Ifrd2","Sar1b","Tal2","Olfr287"
"8622","Cltc","Pepd","Tlr3","Zfyve20","Rsph9"
"8623","Gm5150","Cep112","Pnldc1","Slc28a2","Ccdc96"
"8624","Arpp19","Ccdc23","Ubqln2","Gipr","Aes"
"8625","Lipo1","Cyp1a2","Slu7","Zfp873","Frk"
"8626","Myo1d","Slc35f2","Cox17","Rnf208","N4bp2"
"8627","Pde6h","Lurap1","Ssbp1","Sugt1","2210016L21Rik"
"8628","Myh14","Tlcd2","Nefl","Gpr85","Smn1"
"8629","Clec14a","Tnf","Ptma","Sgcb","E2f8"
"8630","Fgf7","Akap2","Cbwd1","Dnah1","11-Sep"
"8631","Fuk","Parpbp","Amhr2","Hivep3","Pla2g2d"
"8632","Trmt44","Rps14","Lce1f","Polq","Snx16"
"8633","Rgl1","Morc3","Tsn","Zrsr2","Tesc"
"8634","Gtdc1","Kif6","Tbc1d1","Mrpl3","Abcc4"
"8635","Nup160","Hook2","Ssbp2","Aim1l","Pask"
"8636","Mtpn","Fzd10","Marc1_x","Klhl24","Filip1l"
"8637","Pls1","Ccdc88c","Tbpl1","Mobp","Sebox"
"8638","Capns1","Vmn2r46","Ndufs2","Kcna5","Otp"
"8639","Rad51c","Ncam2","Ccdc62","Asxl3","Ezr"
"8640","Il1r1","Hist1h2af","Phlda2","Akr1d1","Epc2"
"8641","Ssna1","Mad2l2","Dennd5a","Trim35","Syp"
"8642","Exosc10","Rcl1","Rprml","Pddc1","Gm6484"
"8643","Hilpda","Cntf","Pex6","Apoc3","Raver2"
"8644","Aff1","Gap43","Idh2","Tmem178","Grem2"
"8645","Dhx30","Nkain4","Myh9","Tmem50a","Fam160b1"
"8646","Ccdc9","1700109H08Rik","Ephb6","Acvr2b","Trpc4ap"
"8647","Adck4","Ogdh","Csn3","Trmt11","Mbd4"
"8648","Dctn4","1110032F04Rik","Ccdc93","Igj","Mpp5"
"8649","Acp2","Suv39h2","Chd9","Gimap5","Tpp1"
"8650","Ccdc135","Grlf1","Btg3","Gm4745","Asprv1"
"8651","Bgn","Spt1","Ube2t","C2cd4d","Amtn"
"8652","Evl","Dcun1d5","Peg3","Lmtk3","Olfm1"
"8653","B4galt5","Dnah6","Fh1","Prrc2b","Pbx1"
"8654","Trim7","Nacad","B3gat3","Sema4a","Nf2"
"8655","Dffb","Pten","Dhrs7b","Opa3","Saa3"
"8656","BC017643","Rbm27","Reep4","Skint8","Casc5"
"8657","Pgrmc2","Sfpq","Rgl3","Clic6","Tsen15"
"8658","Irak3","Duxbl1","Fpr2","Prob1","Mapk14"
"8659","Ost4","Rmdn3","Disc1","Zpbp2","Nup43"
"8660","D7Ertd443e","Gad2","Sucla2","Zfp760","Top1mt"
"8661","Creb3l1","Prss30","Pogk","Msr1","Hpse2"
"8662","Abhd17a","Tceb3","Top2a","Flywch2","BC049762"
"8663","Skint4","Cped1","Hnrnph2","Tax1bp1","Zfp609"
"8664","2310047M10Rik","Fignl2","S100a5","Mbnl3","Pou6f2"
"8665","Ccne1","Spsb4","4933430I17Rik","Slc33a1","Fut4"
"8666","Snupn","Chchd6","Rbm7","Fbxo6","Usp50"
"8667","Meis2","Tnfrsf4","Psmd1","Lrtm1","Mfsd7c"
"8668","Mypop","Ska2","Tnfrsf18","Gck","Cyp2b13"
"8669","Gnai2","Tecta","Vwa3a","Proser2","Adm2"
"8670","Serpine2","Cask","Npm1","Rdx","Tapbp"
"8671","Helt","Ttc37","Rft1","Exosc1","Kcnrg"
"8672","Zbtb48","Apoe","Atxn7l2","Ywhae","Rpl7l1"
"8673","Pbdc1","Rora","Tmem29","Stt3b","Sycp2"
"8674","Zfp512","Fry","Mrps6","Nsun4","She"
"8675","Derl3","Tcte1","Cdh1","Zgpat","Wnt9a"
"8676","Minpp1","Gm13251","Kcnma1","Fam210b","Dennd2a"
"8677","Cd2bp2","Efcab4a","Smim7","Postn","Apobec3"
"8678","Kdm6a","Hivep1","Dlc1","Prss8","Trmt10a"
"8679","Tshz2","Prr15l","Prex1","Nedd1","Fam193a"
"8680","Rhof","Stip1","Emr4","Krtap13-1","Amh"
"8681","Fuca2","A530032D15Rik","Abhd17b","Arglu1","Golga7"
"8682","Rbmxl2","Ndufaf5","Ms4a4b","Gcc1","5730455P16Rik"
"8683","Arhgef10","Llgl2","Palm","Mogs","A230050P20Rik"
"8684","Cx3cl1","Gcsh","Isca1","Gnl3l","1810011H11Rik"
"8685","Igsf10","Sik1","Btla","Tnfsf11","Ucp3"
"8686","Sypl","Pstpip2","4930590J08Rik","Ephx2","Colq"
"8687","Polg2","Cdc42","Uaca","Matn2","Col14a1"
"8688","Stim2","Narf","Bloc1s2","2610528A11Rik","Aqp5"
"8689","Galnt16","Adamdec1","Rassf1","Cntn1","Cox6a2"
"8690","Hykk","Mrpl16","Trim67","Bag3","Lonrf2"
"8691","Tk2","Snrpd3","Drc1","Bckdk","Krt7"
"8692","Rasa2","Dhx37","Leprel2","Sema3b","Thoc1"
"8693","Osgep","N4bp2l1","Ttc23","Pcdhb18","0610010K14Rik"
"8694","Phlpp2","Zfp709","Smchd1","Thap2","Mrps24"
"8695","Ankrd42","Cbln1","Siglec15","Slc35e1","Ass1"
"8696","Med4","Slc25a44","Plekhg1","Nadsyn1","Spag17"
"8697","Wbp2","Actr8","Midn","1700123I01Rik","Zfp329"
"8698","Bhlhb9","Rnf13","Ndufa11","Rnf135","Clk2"
"8699","H2-Ab1","Ctf2","Arhgap4","Narfl","Nps"
"8700","Hps5","Csrnp1","Atp5b","Fam20a","Pik3c2a"
"8701","Gm5483","2410066E13Rik","Gnai1","Eif2s3x","Dbx2"
"8702","Map3k19","Sox11","Gm6086","Slc9c1","C1ql1"
"8703","Gm13178","Disp2","Tpra1","4930564D02Rik","Tgm4"
"8704","Mapk10","Epha8","Exoc7","Olfr110","Tifa"
"8705","Fam86","Crb2","Fxyd4","Vmn2r62","Fth1"
"8706","Mras","Asf1a","Clec4b2","Kir3dl2","Ppic"
"8707","Slc2a9","Ralgps1","Tspan8","Gm3417","Gpr27"
"8708","Syndig1l","Vmn2r43","C2cd4c","Gm3448","Carf"
"8709","Klhl11","Sntg1","Hbq1b","Abcc8","Mboat1"
"8710","Prkcdbp","Cd209e","Alkbh8","Phc2","Mob3a"
"8711","Polh","S100a16","Zfp511","Trdmt1","Sptssa"
"8712","Cage1","Tmeff2","Ilk","Bpifb5","Krt1"
"8713","Mrps9","Plekha8","Bad","Atad1","Brd1"
"8714","Paqr8","Sdhd","Zfp46","Pgr","Ddx31"
"8715","Fbn2","Ccdc86","Gtf2f1","Ldoc1l","Cnn1"
"8716","Otub1","Cep78","Actl9","Zdhhc24","Ceacam15"
"8717","Krtap1-3","Uimc1","Gm11756","Ulbp1","Pabpc4l"
"8718","Fam96b","Rpl5","S100a11","Mgat4b","Sfpq"
"8719","Fbxo2","Tti1","Vnn1","Igsf3","Stard3"
"8720","Mib2","Hiat1","Llph","Mtmr2","Zglp1"
"8721","Vapa","Wfdc17","Zfp292","Dtx1","Adam23"
"8722","Caprin1","Rnf125","Gapt","Nefl","Gng5"
"8723","Gja3","Aox1","Dvl3","Dusp16","Metrnl"
"8724","Usp33","Ldoc1l","Pik3ca","Ptgs1","Fdxr"
"8725","Orc1","Pla2g2d","Tmem81","Suclg2","Epb4.1l5"
"8726","4933408B17Rik","Irf2bpl","Mfsd6l","Gba2","Jkamp"
"8727","Cspg5","Znhit3","Gria4","Pls3","Dzank1"
"8728","S100a13","Cckbr","Fam169a","Calcoco1","Sun1"
"8729","Ctla2b","Actr1a","Crp","Nicn1","Otogl"
"8730","Sdccag3","D430042O09Rik","Fam105a","Skiv2l2","Lgalsl"
"8731","Sde2","Nsun7","Cntnap1","Fam210a","Glrx2"
"8732","Prkar1b","Astn2","Akr1cl","Elk1","Dnajc7"
"8733","Scand1","Adck1","Scn11a","Cdkl5","Zfp64"
"8734","Paics","Zfp951","Dnaaf3","Matk","Aldoc"
"8735","Rgs6","Tollip","Gm20939","Podxl","Akap17b"
"8736","Pip4k2c","Palld","Fn1","Gucy1a2","Siah1a"
"8737","Aif1l","Zfp629","Sdha","Qsox2","Lrrc41"
"8738","Mycbpap","Rab5a","BC107364","Dusp9","Fis1"
"8739","Fam129c","Pex6","Myt1","Tbx15","0610009D07Rik"
"8740","Actr6","Pawr","Casp2","Trmt1l","Rfxank"
"8741","Whsc1","Rnf41","Eno2","Krtap1-4","Ybx1"
"8742","Kcnmb4","Sox18","Srd5a1","Ube2z","Rbp2"
"8743","St7l","Krcc1","Fbxl19","Osm","Fam83b"
"8744","Cntln","Dnase1l2","Cd6","Thap4","Egf"
"8745","Oasl1","Dcaf12l1","Vasn","Muc5b","Map2k4"
"8746","Ugt1a6a","Rwdd3","Rnf43","Slc25a2","BC055324"
"8747","Fgfr1op","Slc16a10","Ly6i","Tbl2","Cnih3"
"8748","Haus2","Ccdc87","Tnrc6b","Tmem120b","Rab9"
"8749","Rfwd2","Maz","Rgs19","Ntm","Fhl3"
"8750","Pik3c3","Lamtor5","Tpi1","1700020L24Rik","Stfa1"
"8751","Ccdc160","Cuta","Afap1l1","Runx2","Nr4a3"
"8752","Ncaph","Tns4","Upf3b","Inpp5k","Cbln3"
"8753","Aprt","Mesp2","Slc4a9","Nptxr","Gtf3c1"
"8754","Chst15","Pter","Tmem223","Tbrg1","Zfp40"
"8755","Exosc9","Sqrdl","Gabarap","Hmgxb4","Slc7a14"
"8756","Reep2","Copz1","Ubb","Pik3ip1","Ikzf5"
"8757","1700020L24Rik","Slc4a2","Trp73","Gpr15","Tmprss11a"
"8758","Caskin1","Skint9","Ubiad1","Col15a1","Efna2"
"8759","Trim59","Raet1d","Foxh1","Snx11","Serf1"
"8760","Mup6","Zswim1","Otos","Fyb","Tagln2"
"8761","Cep110","Mylk","Wfdc10","Ccin","Klhl33"
"8762","Ccdc12","Lrrn4","Serpinb9d","Hes3","Gna13"
"8763","Dgcr14","Fam3c","Prps1l1","Fam71e2","Itga1"
"8764","Proser1","D3Ertd751e","Lhfpl5","Shisa6","Dmtn"
"8765","P2ry6","Gnat3","Bpifb4","Zfp819","Zdhhc21"
"8766","Rap1gap","Enc1","Hist1h2bp","Adam1b","Scaper"
"8767","Ccno","Adsl","Plac1","Zcchc4","Cyb5rl"
"8768","Nanos3","Actn1","Vmn2r96","Snn","Inhbb"
"8769","Atxn7","Ccr6","Adh4","Adamts12","Slc30a1"
"8770","Zfp526","Gpr114","Cnga1","Ccl27a","Ctla2b"
"8771","Eml5","Traf3","Xlr5b","Ugt1a7c","Fbxl18"
"8772","Pilrb1","1700056E22Rik","Morn3","Mpdz","Fam131c"
"8773","Trim21","Ppap2a","Gzmg","Mb","Rab40b"
"8774","Spata22","Pld1","F11","Smc6","Mrpl53"
"8775","Gnrh1","Llgl1","Odf4","Rad51d","Rftn2"
"8776","Zfp707","Cib2","Cstl1","2010109I03Rik","Il2rg"
"8777","Tub","Ap3m2","6330409D20Rik","Esd","Dbpht2"
"8778","Frs3","4931428F04Rik","Oas1d","Rec8","Odf2"
"8779","Srp72","Fkbp2","Klk1b16","Smap1","Akr1cl"
"8780","Lrrtm4","Atp6v0c","Dnali1","2810428I15Rik","Ap1ar"
"8781","Casp2","Rsph4a","Abo","Btg3","Amd2"
"8782","4930578C19Rik","Abce1","Matn1","Dmc1","Fto"
"8783","AK129341","Ccl3","Olfr1036","Epb4.1l1","Nrg3"
"8784","Ptprk","Cdk5rap3","Ccdc159","Rpl27a","Ccnb2"
"8785","Eva1a","Adra2b","Rbl1","Arhgap6","Fam219a"
"8786","Gm8369","Ccdc146","Apeh","Msln","BC018507"
"8787","Scarb2","Spg20","Fcer2a","Adamts8","Rnf6"
"8788","Hhipl2","Robo4","Rp1","Galnt3","Tdrd7"
"8789","Cyp2c44","Cyb561d1","Fmo4","Vav2","Gdnf"
"8790","Cul4b","Mup14","Tmem8b","2610034M16Rik","Rnf44"
"8791","Rhbdl3","Foxd2","Rnf34","Tfrc","Klf15"
"8792","Map10","Ednra","Mlf1","Prep","Hoxa13"
"8793","Fam83d","Igsf21","Zfp114","Chrna10","Foxp3"
"8794","Crybb1","Coq9","Map2k6","Ascl1","Lcmt2"
"8795","B3gat3","Dmc1","Egf","Nup153","Zbtb16"
"8796","Tmem200a","Tmem117","Trh","Rcn3","Cct6b"
"8797","Zfp592","Aldoart2","Fpr1","Lsm3","Sqrdl"
"8798","Trim40","Rab37","Odf2l","Mapkapk3","Il13ra2"
"8799","Gm13139","Rtca","Snx12","Wdr70","Krtap19-3"
"8800","Ophn1","Lclat1","Tmed4","Armcx3","BC022687"
"8801","Cftr","Trp73","Irf3","Zeb2","Cbr4"
"8802","Slamf7","Gm9733","Plcb4","B3gnt8","Ergic2"
"8803","Hpse","Fancc","Tusc5","Tln2","Uqcrq"
"8804","Ccdc3","Ccnk","Efcab4b","Aph1b","Thsd7b"
"8805","Gpr18","Farp2","Lsm3","Degs1","Rbm20"
"8806","Galnt13","Ppm1f","Ckm","1110032F04Rik","Slk"
"8807","Urb1","Gm3411","Ifi47","Ext2","Pdia2"
"8808","Hfe","Dnmbp","Trpm2","Glyat","Trpv3"
"8809","Cacna1d","Trim37","Lpcat1","Zfp941","Polr3e"
"8810","Klri2","Nin","D3Bwg0562e","Ccr10","Melk"
"8811","Tspan15","Kctd17","Mettl20","Pax9","Arhgdib"
"8812","Exoc3l4","Tasp1","Ahcyl2","Necab3","Gm4975"
"8813","Zmym6","Mettl5","Sepw1","Tmc7","Zfp28"
"8814","Atp8a2","Hmgcll1","Elavl1","Wipi2","Srp68"
"8815","Snph","Gm3435","Dst","Tor1b","B3gnt7"
"8816","Anks1","C1qtnf4","Ptges3l","Dgkd","Mks1"
"8817","Pphln1","Enkd1","Mki67ip","Tymp","Ndufa5"
"8818","Slc16a2","Emg1","Zfp251","Gm410","Acy1"
"8819","Pou2f1","Pvr","Galnt9","S100a8","Prr11"
"8820","Lrrc4c","Kcnmb4","Napb","Npas3","Kdm5a"
"8821","Kansl3","Hspd1","Rnf44","Chrm2","Arhgef33"
"8822","Ccnc","Sall4","Dcun1d5","Tada3","Ears2"
"8823","Wbp4","Dcp1b","Slitrk2","Asns","Tnni3k"
"8824","Zfp420","Snapc1","Rnmt","Mettl24","Ankle2"
"8825","Xpnpep1","Rngtt","Nfyc","Fam120b","Rbm44"
"8826","Ythdf3","Gm5615","Kcnab1","Gngt1","Parvb"
"8827","Oaf","Sox6","Osbpl5","Eif1ad","Krt4"
"8828","Bbs10","Rarg","Cass4","Magohb","Ldha"
"8829","Naip1","Hyls1","Nolc1","Klrc2","Flywch2"
"8830","Pla2g4a","Fbxo7","Cyp4b1","Tcf7l2","10-Sep"
"8831","Rpp25l","Oprm1","Ccr5","Chrnb1","Kcnmb1"
"8832","Prss57","Thy1","Pla2g16","Rps7","Syt12"
"8833","Lrrc16b","Ubd","Ndufa12","Bet1l","Fgfr2"
"8834","Sorcs2","Aard","Wnt10a","Myof","Tstd2"
"8835","Chek1","Ralb","Naprt1","Pex11b","H1f0"
"8836","Ccdc55","Cetn2","Glp1r","Dynll1","Ost4"
"8837","Xpo6","Zcchc12","Pld6","Sh2d2a","Metap1d"
"8838","Klrb1b","Ccp110","Polr1b","Cgref1","Pnldc1"
"8839","Nploc4","Sharpin","Tmem69","Ptcd2","Siae"
"8840","Tcfl5","Sdr42e1","Lrrc3","Cat","Rps19bp1"
"8841","Synb","Nt5c3","Emid1","G6pdx","Chn1"
"8842","Aldh9a1","H2-T22","Ssbp4","1810055G02Rik","Lbx2"
"8843","Zfp324","Rab11fip2","Egln3","Kcnk12","Gm5169"
"8844","Pkn2","Stmn4","Tlcd1","Ccl2","Aym1"
"8845","Wtap","Brk1","Ttc38","Sirt2","Vmn2r18"
"8846","Sgk2","Rnmtl1","1700025G04Rik","Epha5","Scgb3a2"
"8847","A130010J15Rik","Ocstamp","Mfge8","Lrrc8a","Gm595"
"8848","Ptprd","Sh3bp2","Cyp3a13","Eif4a2","Pmch"
"8849","Swi5","Tmprss11f","Rapgef4","Ect2","Dppa2"
"8850","Rtel1","Golph3","Hp","Itga6","Pla2g12b"
"8851","Gabra1","Zfp280b","Birc3","Exd2","Csmd3"
"8852","Ulk4","Ppil1","Igj","Cfhr1","Nkx2-2"
"8853","Pbx1","Sdc1","Tbx5","Kansl2","Gzmd"
"8854","Ankrd24","Arrdc2","Spred2","Rttn","Vmn2r27"
"8855","1700010I14Rik","Gpr98","Gpcpd1","Pgam1","4921509C19Rik"
"8856","Myo7a","Lonp2","Zfp775","Rnf144b","Cyp3a25"
"8857","Nck2","Fam78a","Galk1","2010012O05Rik","Dbndd1"
"8858","Tmprss3","Cdh19","Hyou1","Gapt","Hcrt"
"8859","Thsd7a","Fam84b","Apbb3","Gnpda1","Gpx6"
"8860","Pigh","P2ry10","Lamc1","Slfn3","Olfr466"
"8861","Csrp3","Gfm1","Yaf2","Slc26a2","Klk1b22"
"8862","Exo1","Med7","Cnot1","1700026D08Rik","7420461P10Rik"
"8863","Zfp64","Rpgrip1","Arhgap15","Hebp1","Tyrp1"
"8864","A230050P20Rik","Vmn2r55","Surf6","Heatr6","Cd3e"
